City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lokosovo,RU,2021-04-16 19:50:57,61.1333,74.8167,11.95,79,77,6.98
68,Barcelos,PT,2021-04-16 19:50:58,41.5388,-8.6151,63.0,63,0,6.91
69,Moroto,UG,2021-04-16 19:50:58,2.5345,34.6666,73.89,55,28,11.54
70,Vaini,TO,2021-04-16 19:50:58,-21.2,-175.2,69.8,83,20,4.61
71,Nishihara,JP,2021-04-16 19:50:58,26.1842,127.7558,73.4,83,75,11.5
72,Arraial Do Cabo,BR,2021-04-16 19:50:49,-22.9661,-42.0278,80.6,61,0,13.8
73,Clyde River,CA,2021-04-16 19:50:59,70.4692,-68.5914,12.2,85,75,31.07
74,Providencia,MX,2021-04-16 19:50:59,28.7167,-111.5833,86.0,27,47,10.0
75,Sorong,ID,2021-04-16 19:47:24,-0.8833,131.25,78.78,85,80,10.04
76,Cherskiy,RU,2021-04-16 19:51:00,68.75,161.3,4.32,95,75,6.53
77,Naryan-Mar,RU,2021-04-16 19:51:00,67.6713,53.087,29.34,81,100,23.31
78,Tan An,VN,2021-04-16 19:51:00,10.5333,106.4167,77.0,94,75,3.44
79,Komsomolskiy,UZ,2021-04-16 19:51:00,40.4272,71.7189,59.0,55,18,6.91
80,Iqaluit,CA,2021-04-16 19:51:01,63.7506,-68.5145,17.6,62,40,14.97
81,Puerto Ayora,EC,2021-04-16 19:51:01,-0.7393,-90.3518,80.6,83,75,11.5
82,Vilhena,BR,2021-04-16 19:51:01,-12.7406,-60.1458,80.6,74,75,6.91
83,Samarai,PG,2021-04-16 19:51:02,-10.6167,150.6667,81.68,81,84,8.41
84,Barrow,US,2021-04-16 19:50:34,71.2906,-156.7887,3.2,78,40,9.22
85,Cabo San Lucas,MX,2021-04-16 19:48:01,22.8909,-109.9124,86.0,23,20,11.5
86,Northam,GB,2021-04-16 19:50:30,51.0333,-4.2167,46.0,75,100,1.01
87,Mar Del Plata,AR,2021-04-16 19:49:10,-38.0023,-57.5575,68.0,83,20,4.61
88,Mocuba,MZ,2021-04-16 19:51:03,-16.8392,36.9856,66.7,95,28,3.24
89,Honolulu,US,2021-04-16 19:48:17,21.3069,-157.8583,78.01,57,20,4.61
90,Takoradi,GH,2021-04-16 19:51:03,4.8845,-1.7554,81.99,80,57,9.84
91,Bethel,US,2021-04-16 19:50:25,41.3712,-73.414,46.4,66,75,11.5
92,Olavarria,AR,2021-04-16 19:50:27,-36.8927,-60.3225,77.0,60,84,3.0
93,Bredasdorp,ZA,2021-04-16 19:51:04,-34.5322,20.0403,59.0,72,0,10.36
94,Suhbaatar,MN,2021-04-16 19:51:04,50.2314,106.2078,33.67,54,6,6.02
95,Norman Wells,CA,2021-04-16 19:51:05,65.282,-126.8329,39.2,65,40,2.3
96,Soke,ML,2021-04-16 19:51:05,13.598,-5.9386,95.31,20,90,6.64
97,Yellowknife,CA,2021-04-16 19:51:05,62.456,-114.3525,44.6,49,20,8.05
98,Camopi,GF,2021-04-16 19:51:06,3.1655,-52.3158,70.16,98,100,3.78
99,Gravdal,NO,2021-04-16 19:51:06,68.1214,13.5031,41.0,93,40,4.61
100,Mercedes,AR,2021-04-16 19:51:06,-34.6515,-59.4307,82.0,43,0,4.0
101,Banff,CA,2021-04-16 19:51:06,51.1762,-115.5698,60.8,15,14,3.44
102,Georgetown,MY,2021-04-16 19:51:07,5.4112,100.3354,80.6,94,40,11.5
103,Mahebourg,MU,2021-04-16 19:46:15,-20.4081,57.7,77.0,94,75,5.75
104,Damaturu,NG,2021-04-16 19:50:56,11.747,11.9608,85.37,7,31,9.19
105,Kostino,RU,2021-04-16 19:51:07,58.9097,53.2691,32.74,79,9,2.68
106,Wenling,CN,2021-04-16 19:51:08,28.3669,121.36,64.99,76,99,3.83
107,Shelburne,CA,2021-04-16 19:51:08,44.0787,-80.2041,41.0,93,100,10.74
108,San Michele Al Tagliamento,IT,2021-04-16 19:51:08,45.7644,12.9949,48.99,62,46,4.21
109,Thompson,CA,2021-04-16 19:50:35,55.7435,-97.8558,48.2,25,20,6.91
110,Khatanga,RU,2021-04-16 19:51:09,71.9667,102.5,7.65,95,100,9.62
111,Banjar,ID,2021-04-16 19:51:09,-8.19,114.9675,77.0,94,40,4.61
112,Porto Santo,PT,2021-04-16 19:51:09,33.072,-16.3415,62.6,67,75,11.5
113,Abbeville,FR,2021-04-16 19:51:10,50.1,1.8333,43.0,75,35,7.76
114,Kasempa,ZM,2021-04-16 19:51:10,-13.4584,25.8338,62.19,64,3,5.41
115,Butaritari,KI,2021-04-16 19:51:10,3.0707,172.7902,81.5,76,100,8.84
116,Gusau,NG,2021-04-16 19:47:25,12.1628,6.6614,91.24,7,43,6.98
117,Derzhavinsk,KZ,2021-04-16 19:51:11,51.1,66.3167,48.78,76,20,10.58
118,Filadelfia,US,2021-04-16 19:47:50,39.9523,-75.1638,55.0,47,90,17.27
119,Tasiilaq,GL,2021-04-16 19:46:32,65.6145,-37.6368,28.4,93,75,28.77
120,Port Hardy,CA,2021-04-16 19:51:11,50.6996,-127.4199,55.4,62,1,4.61
121,Eyl,SO,2021-04-16 19:51:12,7.9803,49.8164,81.41,73,15,9.24
122,Saint George,US,2021-04-16 19:51:12,37.1041,-113.5841,66.99,22,1,4.61
123,Fortuna,US,2021-04-16 19:51:12,40.5982,-124.1573,53.01,87,1,14.97
124,Faya,SA,2021-04-16 19:51:13,18.3851,42.4509,68.0,26,0,6.91
125,Daru,PG,2021-04-16 19:51:13,-9.0763,143.2092,79.68,84,96,9.82
126,Victoria,HK,2021-04-16 19:47:47,22.2855,114.1577,75.0,87,65,1.01
127,Mount Gambier,AU,2021-04-16 19:51:13,-37.8333,140.7667,51.8,76,90,6.91
128,Dubrovnik,HR,2021-04-16 19:51:14,42.6481,18.0922,48.2,61,0,8.05
129,Morondava,MG,2021-04-16 19:51:14,-20.2833,44.2833,76.42,61,84,16.91
130,Pidvynohradiv,UA,2021-04-16 19:51:14,48.1395,22.9719,44.6,70,90,9.22
131,Saldanha,ZA,2021-04-16 19:51:15,-33.0117,17.9442,69.8,46,0,5.75
132,Touros,BR,2021-04-16 19:51:15,-5.1989,-35.4608,84.2,65,20,12.66
133,Corralillo,CU,2021-04-16 19:51:15,22.9819,-80.5856,83.77,50,0,10.69
134,Oranjemund,NA,2021-04-16 19:51:16,-28.55,16.4333,79.02,32,48,9.98
135,Koslan,RU,2021-04-16 19:51:16,63.4564,48.8989,33.98,91,28,5.68
136,Uray,RU,2021-04-16 19:51:16,60.1247,64.7758,31.68,48,100,8.14
137,Otradnoye,RU,2021-04-16 19:46:21,59.7775,30.8181,48.2,34,0,13.42
138,Severo-Kurilsk,RU,2021-04-16 19:51:04,50.6789,156.125,31.46,78,5,11.68
139,Marsh Harbour,BS,2021-04-16 19:51:17,26.5412,-77.0636,77.41,67,2,12.64
140,Longyearbyen,SJ,2021-04-16 19:51:17,78.2186,15.6401,15.8,62,20,8.05
141,At-Bashi,KG,2021-04-16 19:51:11,41.1702,75.8106,43.99,59,100,5.41
142,Puerto Gaitan,CO,2021-04-16 19:48:22,4.3133,-72.0816,90.34,47,100,6.24
143,Salalah,OM,2021-04-16 19:51:18,17.0151,54.0924,82.4,74,0,4.61
144,Mingguang,CN,2021-04-16 19:51:18,32.7802,117.9638,52.2,57,14,11.07
145,Peleduy,RU,2021-04-16 19:51:18,59.6289,112.7406,28.74,97,100,5.28
146,Naze,JP,2021-04-16 19:51:19,28.3667,129.4833,67.24,86,96,16.33
147,Liuzhou,CN,2021-04-16 19:51:19,24.3126,109.3892,65.59,84,100,5.39
148,Mount Vernon,US,2021-04-16 19:49:51,40.9126,-73.8371,52.0,43,90,16.11
149,Beringovskiy,RU,2021-04-16 19:46:52,63.05,179.3167,30.16,94,100,9.15
150,Sao Paulo De Olivenca,BR,2021-04-16 19:51:19,-3.3783,-68.8725,78.96,94,100,3.76
151,Torbay,CA,2021-04-16 19:51:20,47.6666,-52.7314,34.0,80,90,25.32
152,Kunming,CN,2021-04-16 19:51:16,25.0389,102.7183,55.4,88,40,8.95
153,Sistranda,NO,2021-04-16 19:51:20,63.7256,8.834,42.8,65,0,4.61
154,Souillac,MU,2021-04-16 19:50:42,-20.5167,57.5167,77.0,94,75,5.75
