City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
299,Quatre Cocos,MU,84.2,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
301,Kirakira,SB,83.39,scattered clouds,-10.4544,161.9205,SanBiz Lodge
303,Meulaboh,ID,85.62,overcast clouds,4.1363,96.1285,Kost Pria
304,Dingle,PH,88.41,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
310,Kismayo,SO,85.86,scattered clouds,-0.3582,42.5454,Agan-Hotel
313,Popondetta,PG,84.45,light rain,-8.7537,148.2534,Timos Transit House
316,Waingapu,ID,85.6,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
317,Port Blair,IN,86.02,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
327,Mangrol,IN,88.7,clear sky,21.1167,70.1167,Hotel The Royal Honours
330,Banda Aceh,ID,85.08,overcast clouds,5.5577,95.3222,Sulthan Hotel International
340,Umm Kaddadah,SD,81.63,few clouds,13.6017,26.6876,
344,Manaus,BR,78.8,few clouds,-3.1019,-60.025,Manaus Hotéis Millennium
350,Benghazi,LY,77.45,overcast clouds,32.1167,20.0667,Tibesti Hotel
354,Taganak,PH,89.6,few clouds,6.0833,118.3,Taganak
362,Kloulklubed,PW,82.4,moderate rain,7.0419,134.2556,Storyboard Beach Resort
363,Careiro Da Varzea,BR,78.8,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
382,Mandera,KE,85.1,light rain,3.9366,41.867,Kornesh Hotel and Lodging
388,Kabo,CF,83.5,broken clouds,7.6994,18.629,
389,Kudahuvadhoo,MV,82.71,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
393,Kailua,US,75.2,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
395,Mandalay,MM,84.2,broken clouds,21.9747,96.0836,Hotel Yadanarbon
405,Mahajanga,MG,82.4,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
406,Abu Dhabi,AE,82.4,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
407,Amahai,ID,83.84,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
413,Riyadh,SA,77.0,light rain,24.6877,46.7219,InterContinental Riyadh
414,Rio Branco,BR,77.0,clear sky,-9.9747,-67.81,João Paulo Hotel
422,Biak,ID,80.87,overcast clouds,-0.9131,122.8766,Penginapan Kim
423,Guatire,VE,78.8,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
424,Winneba,GH,80.6,clear sky,5.3511,-0.6231,Windy Lodge & Beach Resort
426,Sambava,MG,82.0,few clouds,-14.2667,50.1667,Melrose
427,Namatanai,PG,77.25,light rain,-3.6667,152.4333,Namatanai Hotel
431,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
435,Puerto Escondido,MX,78.49,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
437,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
438,Bintulu,MY,80.6,scattered clouds,3.1667,113.0333,900 Boutique INN
448,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
459,Makakilo City,US,75.2,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
465,Dicabisagan,PH,85.1,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
481,Caridad,PH,86.43,overcast clouds,10.8315,124.7518,LGS Scandinavia Resort
484,Bongor,TD,84.69,overcast clouds,10.2806,15.3722,Complexe Le Confort Annexe de Bongor
487,Bilma,NE,82.83,clear sky,18.6853,12.9164,Expeditions Ténére voyages
489,Le Port,RE,84.2,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
492,Alice Springs,AU,75.99,clear sky,-23.7,133.8833,Desert Palms Alice Springs
493,Port-Gentil,GA,77.0,moderate rain,-0.7193,8.7815,Fengshui Residence
494,Grand Gaube,MU,84.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
496,Merauke,ID,84.22,overcast clouds,-8.4667,140.3333,
497,Kita,ML,88.03,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
505,Chirongui,YT,84.2,light rain,-12.9319,45.1483,La Villa Mahatsara
506,Jeremie,HT,75.33,clear sky,18.65,-74.1167,Auberge’Inn
507,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
509,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
510,Upata,VE,77.0,scattered clouds,8.0086,-62.3989,Posada Villa Nela
513,Tessalit,ML,81.32,overcast clouds,20.1986,1.0114,
519,Pedernales,DO,78.06,few clouds,18.0384,-71.744,Hotel Costa Marina
522,Hurghada,EG,75.2,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
523,Kapoeta,SS,86.25,scattered clouds,4.7717,33.5903,Eastgate Hotel
540,Qeshm,IR,82.4,few clouds,26.9581,56.2719,Qeshm Kavan Hotel
542,Itarema,BR,76.26,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
554,Kendari,ID,87.76,broken clouds,-3.945,122.4989,Hotel Wixel
555,Tahoua,NE,78.8,clear sky,14.8888,5.2692,Bungalows Guesthouse
559,Hambantota,LK,86.0,broken clouds,6.1241,81.1185,Bungalow 63
561,Lorengau,PG,83.1,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
562,Wamba,NG,77.29,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
565,Davila,PH,87.8,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
568,Catarman,PH,84.13,overcast clouds,12.4989,124.6377,Pink City Pension Hotel
571,Conceicao Do Araguaia,BR,77.0,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
