City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,La Paz,BO,-16.5,-68.15,41.86,86,13,1.45,few clouds
81,Sinnamary,GF,5.3833,-52.95,77.54,81,83,11.01,broken clouds
82,Irtyshskiy,RU,58.3333,68.1333,42.78,35,41,13.44,scattered clouds
83,Terra Santa,BR,-2.1042,-56.4869,73.11,97,98,2.64,overcast clouds
84,Chokurdakh,RU,70.6333,147.9167,13.41,85,7,9.22,clear sky
85,Svobodnyy,RU,51.4,128.1333,51.89,28,13,4.83,few clouds
86,Chara,RU,56.9064,118.2631,38.16,99,98,6.87,overcast clouds
87,Castro,BR,-24.7911,-50.0119,58.35,95,100,1.14,overcast clouds
88,Palana,RU,59.1167,159.9667,26.02,94,100,25.79,light snow
89,Durham,US,36.0335,-78.8664,51.8,62,75,4.92,broken clouds
90,Bama,NG,11.5221,13.6856,81.93,10,80,5.73,broken clouds
91,Nanortalik,GL,60.1432,-45.2371,21.76,50,0,44.67,clear sky
92,Cherskiy,RU,68.75,161.3,22.62,80,71,6.71,broken clouds
93,Faanui,PF,-16.4833,-151.75,82.71,71,29,7.96,scattered clouds
94,Vaini,TO,-21.2,-175.2,77.0,73,20,5.75,few clouds
95,Norman Wells,CA,65.282,-126.8329,37.4,70,40,5.75,scattered clouds
96,Port Alfred,ZA,-33.5906,26.891,62.17,61,3,17.92,clear sky
97,Avarua,CK,-21.2078,-159.775,77.0,83,6,6.91,clear sky
98,Belgrade,RS,44.804,20.4651,41.0,93,87,3.44,mist
99,Touros,BR,-5.1989,-35.4608,75.2,94,40,3.44,scattered clouds
100,San Patricio,US,28.017,-97.5169,69.8,94,75,14.97,broken clouds
101,Bouca,CF,6.5105,18.2733,80.71,43,85,5.12,overcast clouds
102,Martapura,ID,-3.4167,114.85,87.8,45,40,3.44,scattered clouds
103,Hobart,AU,-42.8794,147.3294,62.6,55,75,12.66,heavy intensity rain
104,Samarai,PG,-10.6167,150.6667,83.55,77,76,12.68,broken clouds
105,Alexandria,EG,31.2156,29.9553,66.2,59,0,6.91,clear sky
106,Poum,NC,-20.2333,164.0167,78.66,73,34,7.14,scattered clouds
107,Pevek,RU,69.7008,170.3133,17.17,92,87,6.55,overcast clouds
